Word,Frequency
'md,8
',54518
",",54439
'anderson,7
'treated,11
'brothers,8
'rare,8
'bladder,11
'cancer,1099
'grateful,20
'hes,74
'fine,30
'years,232
'later,35
'would,147
'pain,72
'went,104
'see,146
'top,14
'didnt,58
'anything,30
'said,99
'keeps,8
'come,78
'back,126
'sounds,10
'like,289
'sure,55
'mri,13
'show,34
'little,33
'bad,71
'mom,60
'stage,113
'bone,25
'going,222
'survive,18
'long,64
'father,44
'diagnosed,126
'honestly,11
'lost,54
'words,19
'right,66
'try,32
'using,41
'killed,7
x,23
'weeks,58
'anymore,10
'kept,11
'came,57
'yet,25
'hand,13
'name,63
'drug,43
'working,17
'well,182
'man,83
'suffering,37
'want,98
'help,197
'dont,149
'money,48
'love,457
'much,236
nan,205
'people,196
'rate,14
'within,21
'based,7
'every,105
'patients,41
'please,117
'follow,23
'doctor,161
'says,11
'something,62
'taken,14
'dad,39
'treatment,178
'options,12
'scary,18
'sir,12
'also,206
b,21
'cured,125
'happening,15
'oh,35
'sad,89
'beat,89
'goku,15
'tho,20
'almighty,9
'god,526
'sick,33
'worry,14
'trust,22
'yeah,11
'everyone,70
'pray,160
'high,29
'time,191
'reach,27
'kinds,8
'health,81
'issues,25
'herpes,20
'virus,56
'breath,9
'big,38
'thank,258
'making,24
'self,14
'mother,38
'lil,9
'better,107
'thanks,107
'lot,67
'saving,10
'life,291
'deadly,13
'disease,83
'really,152
'happy,84
'able,55
'great,130
'herbs,75
'total,17
'cure,155
'give,96
'hope,276
'im,335
'glad,82
'met,16
'dr,329
'youtube,136
'good,212
'friend,49
'mine,25
'recommended,14
'cant,52
'believe,67
'forever,26
'breast,192
'gone,38
'doc,14
'bro,25
'hi,35
'make,92
'school,6
'someone,50
'cancers,36
'though,45
'already,30
'lymph,21
'liver,19
'tried,22
'different,45
'drugs,88
'still,157
'spent,7
'process,23
'us,133
'herbal,179
'medicine,84
'told,91
'curing,22
'diseases,31
'products,21
'quickly,22
'contacted,24
'explain,9
'everything,70
'husband,106
'serious,11
'dangerous,10
'actually,24
'got,292
'perfect,14
'medication,53
'osoria,11
'used,53
'totally,33
'across,36
'channel,61
'one,188
'best,162
'days,80
'surfing,8
'finally,19
'hsv,13
'deserve,10
'appreciate,27
'know,265
'problems,21
'lungs,7
'made,53
'weak,13
'looking,38
'found,64
'similar,12
'past,31
'patient,17
'double,8
'trial,12
'three,26
'medical,30
'ultrasound,8
'works,24
'infections,10
w,7
'root,7
'prostate,121
'allowed,9
'research,22
'treatments,86
'four,13
'company,9
'ever,71
'new,38
'types,10
'share,36
'non,16
'cell,21
'plus,10
'sharing,133
'yall,9
'story,59
'strong,496
'beautiful,274
'loved,31
'world,64
'gave,38
'son,35
'wife,30
'scared,29
'five,7
'sent,30
'medicines,7
'months,88
'free,94
'clearly,9
'eye,7
'contact,69
'play,9
'children,16
'head,29
'hurts,7
'hands,15
'normal,23
'living,30
'bringing,9
'happiness,13
'youre,58
'get,368
'anyone,54
'never,124
'knew,27
'igho,9
'helping,29
'removed,33
'gon,47
'na,65
'let,39
'way,142
'ugly,6
'thing,74
'choose,6
'positive,125
'lord,53
'side,51
'heart,121
'jesus,106
'wont,14
'happens,18
'may,109
'live,89
'earth,24
'go,183
'guys,79
'fully,10
'could,94
'nd,11
'full,52
'experience,22
'helped,31
'speed,6
'healing,103
'wonder,22
'might,20
'become,11
'bless,275
'naturally,9
'feel,96
'hard,71
'painful,17
'touch,10
'worst,23
'part,26
'journey,131
'place,17
'difference,9
'kind,44
'thought,53
'say,64
'today,69
'ogie,6
'daughter,16
'giving,34
'always,112
'take,121
'personal,10
'brought,13
'permanently,21
'fighting,78
'multiple,9
'survivor,55
'old,72
'answer,9
'isnt,16
'cause,32
'group,16
'cells,38
'body,96
'happen,31
'literally,18
'certain,7
'things,48
'chances,7
'advice,9
'medications,18
'send,16
'put,46
'stop,38
'work,62
'blood,44
'negative,67
'completely,40
'without,46
'effects,32
'almost,36
'healed,25
'doctors,43
'allah,10
'remember,37
'prayers,298
'fighter,19
'broken,6
'else,19
'survival,9
'tell,51
'day,133
'recently,13
'saw,31
'die,58
'covid,22
'morning,6
'friday,7
'th,26
'passed,31
'away,55
'battle,32
'wishing,28
'suffer,10
'praying,239
'possible,26
'till,12
l,13
'okay,15
'symptoms,37
'illness,21
'coming,20
'major,9
'loss,20
'caused,9
'immune,18
'ago,92
'death,29
'wish,114
'strength,86
'human,21
'excited,12
'supplements,17
'harvey,58
'heal,68
'call,40
'ask,33
'save,40
'watch,53
'build,6
'faith,53
'read,20
'heaven,14
'hell,20
'start,28
'saying,21
'listen,15
'videos,36
'testimony,24
'person,75
'doubt,9
'kill,29
'bring,19
'died,57
'sins,10
'dead,24
'job,14
'home,32
'kids,27
'friends,38
'mean,22
'care,46
'fuck,44
'blessing,18
'pink,10
'smiling,12
'faces,9
'matter,18
'became,12
'ended,11
'makes,56
'fun,13
'need,75
'stories,10
'known,12
'thankful,6
'felt,38
'times,46
'parents,8
'healthy,52
'doesnt,22
'lose,21
'woman,85
'inspirational,11
'second,26
'uk,13
'starting,12
'inspire,11
'glory,8
'abiola,19
'south,6
'partner,8
'rid,32
'find,51
'remedies,10
'permanent,10
'asking,7
'nah,6
'lump,12
'shes,76
'checked,12
'tomorrow,14
'family,137
'probably,21
'worth,10
'sending,170
'hugs,64
'support,74
'affected,7
'ones,22
'pass,7
'condition,15
'hello,17
'genuine,6
'thats,49
'crazy,18
'survived,12
'spreading,10
'message,12
'next,32
'month,30
'use,36
'first,98
'video,78
'mind,20
'sister,63
'speak,13
'plz,10
'terrible,26
'getting,61
'book,9
'left,23
'iam,6
'yrs,29
'yesterday,9
'concerned,6
'look,94
'face,16
'mammogram,8
'week,40
'fast,26
'everybody,8
'special,11
'clear,6
'natural,67
'fight,76
'hiv,162
'solution,15
'despite,8
'spend,10
'buy,11
'keep,181
'taking,57
'several,17
'post,14
'sometimes,21
'drharvey,15
'asked,18
'questions,15
'forget,22
'amazed,9
'heard,26
'test,84
'confirm,6
'hospital,51
'final,7
'running,6
'wow,64
'tears,14
'anybody,8
'situation,17
'cures,18
'via,30
'emaildrharveyphytotherapyyahoocom,11
'recommend,16
'hpv,13
'pancreatic,50
'diet,24
'wasnt,11
'faithful,6
'weight,34
'due,24
'soon,98
'trouble,10
'eating,13
'visit,18
'started,34
'alot,7
'miracle,13
'whatsapp,34
u,120
'ok,26
'beating,7
'surviving,6
'truly,40
'roots,14
'std,6
'info,6
'entire,12
'fought,7
'girl,123
'local,10
'community,10
'nodes,15
'year,87
'another,39
'brain,16
'given,21
'nothing,34
'possibly,6
'done,50
'emotional,12
'state,9
'decided,12
'bought,6
'consumed,6
'exactly,30
'chance,22
'drharveyphytotherapyyahoocom,6
'november,7
'hoping,12
'severe,6
'scheduled,6
'received,15
'telling,10
'return,6
'film,10
'needed,21
'testing,8
'october,8
'wrong,19
'turn,11
'primary,7
'called,32
'older,19
'explained,7
'immediately,11
'biopsy,34
'alone,32
'since,39
'hero,10
'whenever,9
'seeing,24
'hopefully,13
'couple,34
'surgery,78
'wanted,23
'learned,10
'available,17
'ayes,10
'center,14
'underwent,8
'seven,8
'daily,21
'therapy,36
'remedy,12
'men,27
'incredible,27
'check,34
'end,40
'series,6
'choice,9
'offer,6
'type,27
'even,90
'chemo,210
'radiation,69
'whats,26
'app,10
'recovery,72
'grow,11
'system,30
'shrink,6
'tumors,11
'moving,11
'iv,16
'nice,16
'child,17
'small,13
'milk,10
'think,92
'baby,13
'straight,12
'chemotherapy,56
'mastectomy,10
'two,41
'raise,6
'email,30
'complain,6
'helps,35
'information,16
'thoughts,38
'changed,10
'eradicate,7
'trying,14
'peace,43
'cut,10
'kelly,8
'shared,8
'took,44
'carry,10
'indeed,10
'moment,13
'finding,12
'easy,20
'slowly,6
'attitude,26
'ill,22
'sores,19
'wouldnt,16
'skin,9
'hit,7
'cd,6
'count,6
'low,17
'sitting,6
'looked,15
'lady,48
'walk,13
'fantastic,8
'struggling,7
'incredibly,11
'supportive,10
'throughout,10
'far,16
'bigger,6
'house,10
'simple,13
'caught,12
'pains,10
'joy,12
'history,12
'sucks,18
'lets,11
'together,26
'carcinoma,6
'august,10
'many,116
'treating,10
'herbalist,8
'member,6
'suggested,6
'prescribed,7
'kidney,10
'seen,25
'tumor,26
'followed,7
'turned,12
'broke,13
'oral,8
'experiencing,6
'break,9
'forms,6
'oil,29
'hepatitis,14
'diabetes,7
'worried,14
'proud,38
'last,77
'africa,7
'india,10
'leave,14
'suffered,6
'problem,26
'worked,8
'pls,9
'soul,37
'lower,6
'spread,20
'short,9
'promise,13
'forward,14
'others,36
'avoid,8
'risk,15
'lung,19
'smoking,10
'beginning,7
'worse,10
'everyday,17
'enough,27
'difficult,23
'talk,24
'couldnt,11
'appointment,7
'longer,10
'win,23
'number,18
'wonderful,44
'awful,13
'funny,9
'scan,13
'tested,28
'result,15
'bc,7
'age,56
'understand,22
'healer,16
'miracles,7
'fortunate,6
'receive,6
'amount,10
'women,40
'completed,6
'blessings,34
'millions,6
'less,22
'john,6
'listening,7
'around,52
'amazing,161
'hear,33
'radical,6
'remission,15
'march,6
'wear,15
'breaking,7
'grandma,9
'must,28
'happened,34
'rest,45
'gives,23
'real,32
'six,10
'eyes,23
'thyroid,7
'instagram,6
'powerful,46
'needs,37
'reason,23
'circumstances,6
'water,25
'common,10
'brings,8
'smile,32
'fear,10
'absolutely,22
'cannabis,10
'wan,13
'interview,6
'prayer,26
'brave,129
'awareness,11
'created,7
'mentally,8
'eat,44
'online,22
'per,22
'relief,6
'missed,15
'younger,11
'red,48
'change,22
'cry,32
'anxiety,9
'issue,11
'sooo,12
'procedure,7
'especially,22
'results,22
'word,11
'beast,6
'looks,120
'canada,6
'cried,13
'night,15
'whole,27
'option,8
'success,12
'mexico,7
'hold,16
'phone,11
'showed,6
'period,6
'oncologist,7
'reading,11
'spirit,19
'kills,6
'stay,151
'ur,19
'pretty,36
'close,16
'blessed,26
'talking,14
'area,12
'plan,9
'shit,46
'means,13
'cold,7
'rip,39
'sorry,64
'diagnosis,22
'attention,11
'smaller,6
'kinda,6
'horrible,31
'focus,6
'hate,16
'ive,37
'watched,16
'seems,16
'da,8
'tenz,21
'ti,14
'gets,46
'watching,60
'realize,9
'goes,33
'lol,39
'knowing,12
'chronic,8
'kyedae,72
'true,30
'yearly,7
'tests,22
'young,73
'bet,11
'damn,25
'leukemia,21
'aml,10
'early,29
'moments,7
'technoblade,7
'id,7
'crying,12
'poor,22
'including,6
'aggressive,12
'form,10
'white,9
'huge,15
'lucky,16
'rather,12
'admirable,7
'laugh,7
'often,22
'hearing,8
'staying,9
'recover,17
'yes,12
'uncle,8
'meet,17
'wait,30
'arent,6
'obviously,10
'insurance,9
'meth,21
'seriously,8
'loves,21
'cute,11
'respect,20
'guy,30
'least,23
'comes,19
'luck,26
'thinking,22
'theres,15
'power,27
'feels,13
'sign,7
'stem,6
'calm,7
'treat,13
'easily,9
'holy,13
'alright,7
'tired,9
'sleep,16
'late,19
'brother,34
'transplant,7
'grace,33
'tbh,8
'force,14
'positivity,21
'strange,6
'news,17
'accept,8
'christ,33
'lmao,7
'omg,21
'tough,23
'definitely,15
'biggest,9
'course,8
'learn,15
'personally,6
'cares,10
'amen,27
'queen,6
'besides,9
'maybe,16
'hurt,17
'future,11
'easier,15
'lymphoma,9
'currently,16
'third,10
'dose,14
'handle,11
'wtf,7
'stuff,16
'playing,7
'internet,13
'weird,8
'supposed,6
'cool,9
'helpful,12
'etc,12
'sadness,8
'takes,17
'recovers,7
'enjoy,10
'point,9
'sickness,10
'fact,12
'dealing,14
'feeling,22
'speedy,17
'idk,7
'suck,9
'tyson,6
'knows,15
'cooking,6
'protein,10
'grass,6
'wants,8
'seeds,6
'honey,8
'vegetables,7
'energy,13
'fat,8
'raw,6
'quality,7
'food,32
'meat,10
'bit,10
'hours,14
'either,6
'seem,10
'safe,15
'ass,21
'peoples,6
'lives,18
'tongue,9
'round,7
'shows,11
'removal,9
'clinic,9
'continued,22
'interested,8
'summer,6
'sweet,63
'drink,15
'related,12
'posting,9
'courage,30
'inspiration,44
'yr,12
'outcome,6
'bright,8
'gotten,7
'super,18
'bald,46
'hair,60
'wearing,6
'wig,27
'miss,18
'que,20
'stopped,7
'stupid,12
'comfort,11
'half,20
'beauty,18
'imagine,23
'complete,19
'mum,20
'gorgeous,12
'sadly,7
'kushina,15
'uzumaki,8
'single,15
'quick,7
'tip,9
'upon,11
'ya,14
'youll,14
'alive,11
'fucking,17
'butt,8
'wigs,7
'following,6
'review,7
'te,26
'breaks,16
'hug,13
'blue,6
'stronger,24
'fans,7
'guess,11
'fucked,11
'memories,9
'rooting,13
'absolute,7
'supporting,18
e,23
'de,27
'showing,11
'wishes,26
'hang,25
'prefer,6
'rock,9
'cover,6
'sweetest,11
'unfair,6
'clean,8
'letting,7
'strongest,19
'line,11
f,6
'benefits,10
'constantly,7
'shown,7
'level,7
'hot,7
'thru,20
'ex,6
'catch,8
'extremely,14
'ice,6
'havent,8
'macmillan,30
'nurse,15
'losing,7
'charity,9
'advert,22
'hits,7
'music,10
'ad,19
'question,9
'song,18
'snowbirds,10
'silent,11
'grandpa,10
'throat,7
'inside,34
'caring,9
'unfortunately,16
'deep,6
'youve,16
'oncology,13
'waiting,19
'lots,47
'lovely,16
'nurses,12
'stress,9
'hour,13
'radio,6
'usually,7
'dear,39
'december,7
'private,8
'cost,6
'continue,32
'xx,18
'search,8
'arms,8
'brilliant,9
'ring,6
'important,21
'goodness,10
'lived,10
'hated,7
'feet,9
'pounds,9
'delia,333
'active,6
'idea,9
'behind,13
'nails,6
'el,9
'un,12
'dios,8
'se,9
q,10
'es,7
'battling,8
'infusion,29
'nausea,6
'acid,6
'google,6
'attack,7
'port,48
'skinny,33
'anyway,8
'causes,9
'sugar,10
'fresh,6
'cruel,17
'infusions,24
'allergic,6
'ben,35
'una,8
'la,16
'devil,27
'update,7
'although,7
'pills,10
'appetite,7
'nasty,8
'st,13
'ct,7
'rounds,13
'candy,17
'birthday,10
'hey,20
'room,12
'texas,7
'mask,10
'sit,6
'taste,49
'saline,39
'flush,18
'australia,11
'ivermectin,6
'taxol,7
'leaves,11
'sweetie,11
'warrior,35
'light,36
'vitamin,23
c,14
'opinion,7
'n,13
r,14
'toilet,6
'folarin,9
'saved,17
'black,8
'joe,17
'dispenza,17
'meds,14
'machine,8
'amazingly,6
'mouth,35
'raised,6
'precious,12
'dying,7
'air,6
'keeping,25
'courageous,14
'tv,9
'admire,11
'ogoh,11
'stomach,13
'usa,6
'nobody,8
'decision,11
'kisses,6
'loving,22
'vibes,18
'gross,8
'angel,17
'alcohol,10
'harry,9
'humans,7
'deaths,8
'shots,8
'drs,7
'overcome,6
'twice,7
'minutes,12
'deus,7
'except,7
'odd,6
'bones,10
'max,6
'supplement,6
'example,15
'order,10
'putting,12
'voice,6
'open,9
'kick,13
'neuroscientist,8
'mainstream,8
'meditations,16
'succumbing,8
'fears,12
'accidents,8
'entirely,10
'unnecessary,10
'method,8
'clinical,6
'gods,20
'cream,7
'truth,9
'capable,6
'piece,8
'families,7
'com,6
'sweetheart,13
'february,8
'fibroid,6
'sun,6
'iu,7
'mg,44
'bath,8
'drinking,8
'bathroom,7
'smell,8
'sooooo,7
'inspiring,20
'dylan,93
'pill,7
'gum,7
'aunt,6
'knowledge,8
'en,12
'tu,9
'bell,6
'plant,6
'trooper,13
'infection,19
'con,7
'sex,9
'flushed,6
'hormone,7
'para,15
'finished,16
'lo,6
'xxx,22
k,6
'ready,6
'control,6
'shame,6
'continuing,7
'twin,7
'winner,6
'step,9
'foot,9
'soooo,7
'em,8
'heartbreaking,7
'ac,7
'tree,9
'struggles,6
'utah,6
'korea,6
'xoxo,13
'rockstar,7
'dna,8
'damage,6
'grams,7
p,9
'egcg,6
'albendazole,6
'olive,7
'ml,7
'heavenly,11
'exact,6
'ps,7
'awesome,14
'mouthwash,6
'gift,7
'gospel,7
'depression,8
'spirits,7
'whatever,6
'walking,6
'hubby,7
'rick,7
'doxorubicin,6
'ribbon,6
'whether,7
'road,6
'dry,8
'awe,9
'wondering,7
'stand,6
'star,6
'dude,23
'remove,9
'product,6
'thousands,6
'mr,10
'approach,6
'church,6
'mostly,6
'screening,10
'rich,6
'matt,8
'psa,69
'gleason,7
'famous,6
'stars,7
'erectile,9
'dysfunction,8
'urologist,12
'robotic,6
'protocol,7
'stiller,9
'sexual,6
'lbs,7
'cbd,6
'addict,12
'aaron,72
'carter,41
'public,6
'smh,10
'kanayo,17
'peterson,16
'aids,39
'ft,6
'tall,6
'cocaine,6
'gay,8
'kid,8
'nick,18
'fame,12
'hollywood,12
'crush,8
'abuse,7
'heroin,6
'crack,10
'kim,7
'rso,26
'igbinedion,6
